Price,Type,Bedrooms,Bathrooms,Square Feet
180000,House,4,2,1495
249000,Townhouse,3,3,1702
284900,House,4,3,2062
289000,House,4,3,2645
414500,Townhouse,3,4,2220
420000,House,3,4,2286
449990,Townhouse,3,4,2349
459000,Townhouse,3,4,2524
549000,House,3,3,2413
850000,House,4,4,3058
625000,Apartment,2,2,1691
925000,House,3,3,3170
99900,House,3,1,954
139900,House,4,2,1400
579000,House,3,3,2064
589000,Townhouse,3,4,3459
600000,Townhouse,3,4,2391
1199000,House,4,4,3008
1495000,House,4,4,3450
119900,House,3,2,1028
298900,House,3,2,1470
399900,House,2,3,1900
405000,Condo,2,2,1590
599900,House,4,3,2345
315000,House,3,2,1460
965000,House,2,3,3312
1475000,House,4,6,5082
315000,House,4,3,1946
299900,Condo,1,1,1025
360000,House,2,3,1786
499000,House,3,3,2599
609000,House,3,3,2945
630000,House,3,5,2690
635000,House,4,3,3402
869000,House,3,2,2172
2285000,House,5,7,6437
2600000,House,4,4,4720
115000,Condo,1,1,680
399000,Townhouse,3,3,2020
399999,House,4,2,2073
87500,Condo,1,1,863
259000,House,3,2,2039
305000,House,3,3,1797
345000,House,3,3,2273
435000,House,3,3,2871
549000,House,2,3,2780
609000,House,3,4,3364
895000,House,3,4,5142
955000,House,3,4,3198
1525000,House,3,4,2834
2995000,House,6,8,7376
4895000,House,5,5,6828
169000,House,3,2,1060
245000,Townhouse,3,3,1804
249000,Townhouse,2,2,1068
330000,House,3,2,2732
358000,House,3,2,1612
120000,Townhouse,2,2,1428
280000,Condo,2,3,1720
244000,Apartment,1,1,982
270000,House,2,2,1309
895000,Apartment,2,3,2690
285000,House,3,2,2106
285000,House,3,3,1515
359000,House,4,3,2981
430000,House,3,3,2147
499000,House,3,4,2636
510000,Townhouse,2,3,2824
929500,House,4,4,4331
1775000,House,5,6,5442
274900,House,4,4,2636
397500,House,5,4,2867
549950,Townhouse,3,4,2472
610000,House,3,2,1160
799000,House,3,4,3440
1225000,House,4,4,3472
195000,House,3,2,1860
373888,House,4,4,2956
1849000,House,5,4,5229
285000,House,4,3,2892
315000,Apartment,2,2,1415
629000,House,4,4,2703
2495000,House,3,4,3372
4895000,House,4,6,7291
279900,House,2,3,1269
349900,House,3,1,1318
369000,Townhouse,3,4,2050
520000,House,4,2,2480
725000,House,3,2,1712
799000,House,5,3,4006
995000,House,3,3,3978
1850000,House,5,7,6373
2850000,House,4,5,5787
350000,Townhouse,3,3,3118
950000,House,4,5,3978
1650000,House,3,4,3967
280000,Townhouse,2,2,1167
399000,House,3,4,2347
429000,Townhouse,3,4,2039
899495,House,3,4,4079
975000,House,2,4,2867
2225000,House,5,6,6910
340000,House,3,4,2062
549900,House,3,2,1880
699000,House,4,3,2631
789000,House,3,3,2232
1496250,House,4,5,4275
480000,House,5,4,4238
550000,House,3,3,3445
1799999,House,4,6,4303
3679000,House,5,7,6816
274900,House,3,2,1728
349000,House,3,2,1384
355000,House,4,2,2216
86500,Condo,3,2,1274
499000,House,2,3,1234
269900,House,4,2,2467
585000,House,3,3,3082
99500,Townhouse,2,1,841
369000,Townhouse,3,3,2014
649000,House,3,4,3179
1479000,House,5,6,4714
5950000,Apartment,2,3,4647
48900,Condo,1,1,776
110000,Condo,1,1,789
359000,House,3,3,1887
245000,Condo,2,2,1497
419000,Apartment,2,3,1854
160000,Condo,3,3,1602
1250000,House,2,4,3047
2249000,House,4,6,5140
918000,House,3,3,2730
245000,Condo,2,2,1546
309000,Townhouse,2,3,1866
574500,House,3,4,2684
644999,House,3,2,1371
799000,House,3,3,2471
1045000,House,4,3,3071
482500,Townhouse,3,4,2239
585000,House,3,3,2751
689000,House,3,4,2787
1850000,House,5,7,6373
1999000,House,4,5,5111
140000,Condo,2,3,1520
274900,House,3,3,1658
125000,House,2,1,1044
315000,Townhouse,2,3,1262
349000,House,3,2,2491
819000,House,3,3,2480
1049000,House,3,5,2876
309900,House,2,2,1834
750000,House,4,4,3601
154900,Condo,2,2,1224
489500,House,5,4,4323
353900,House,3,2,1940
1224000,House,5,7,4872
1995000,Apartment,3,6,4444
264900,Townhouse,3,3,1824
430000,House,3,3,1994
263000,Condo,2,3,1624
750000,House,4,5,3657
178500,Condo,1,1,679
375000,House,3,4,2132
1589999,Townhouse,4,5,4394
339000,House,3,2,1552
650000,Condo,3,4,3060
795000,House,3,2,2708
899950,House,5,5,4010
1200000,House,4,3,2874
1295000,House,4,4,3391
2800000,Apartment,0,0,5518
230000,Apartment,1,1,795
299000,House,4,2,2526
499000,House,3,2,1889
1050000,House,5,6,5494
275000,House,1,1,751
400000,Townhouse,3,4,2517
769000,House,3,5,3800
125000,House,4,2,1200
399500,House,4,4,3717
409900,Townhouse,3,3,1822
448000,Townhouse,3,4,3010
1105000,House,2,2,1862
1195000,Apartment,3,4,3308
199900,House,4,4,2679
295000,Townhouse,3,3,2586
459000,Townhouse,3,3,2532
535000,House,3,3,2520
249000,Condo,2,3,1560
339500,House,3,2,1635
370000,House,2,1,889
405000,House,3,3,2697
1995000,House,4,5,5420
324999,Townhouse,3,3,1794
389990,House,3,4,2089
349900,House,4,2,2314
749000,House,3,5,3086
345000,Townhouse,3,4,2666
360000,Townhouse,2,3,1985
507500,House,5,4,3677
837800,House,3,4,3349
1750000,House,5,6,4801
360000,House,2,1,1364
1990000,House,4,5,5293
469000,House,3,2,1905
567000,House,3,4,3108
797000,House,3,3,2176
1425000,House,5,6,4614
1675000,House,4,5,4546
680000,House,3,3,3751
799000,House,4,5,3876
985000,House,5,3,2630
1595000,House,4,5,4724
2199000,House,4,5,3863
2999999,House,4,5,6192
575000,House,4,4,2306
1050000,House,3,5,3942
1349999,House,3,5,4304
1999000,Apartment,2,4,3446
259000,Condo,1,1,1117
415000,House,3,4,2330
699000,House,3,4,3074
1390000,House,3,3,2702
225000,Apartment,2,2,1266
307000,Townhouse,3,3,1640
499999,Townhouse,3,4,2678
525000,House,3,3,2735
619000,House,4,4,3496
1250000,House,5,6,4676
225750,Townhouse,2,3,1800
340000,House,4,4,2963
1225000,House,4,4,4002
2800000,House,5,6,6022
214900,House,4,2,1444
234900,House,3,2,1585
330000,House,3,3,2474
545000,Townhouse,3,3,3901
650000,House,3,2,2147
765000,House,3,4,3887
780000,House,5,5,6055
799000,House,3,3,3239
969800,House,3,5,3767
1099000,House,3,4,3902
1297543,House,4,6,5511
1575000,House,4,5,5329
999000,House,4,4,3984
164900,House,3,1,1332
267000,House,3,3,1988
267500,House,3,3,1456
282900,House,4,3,2939
288000,Townhouse,2,2,1588
299000,House,4,4,3921
